id;ime;link;tip_aplikacije;cena;znižanje;datum_izdaje;izdajatelj;založnik;ocene;žanri;št_dosežkov;opis
1574820;Until Then;https://store.steampowered.com/app/1574820/Until_Then;Game;19,50€;No discount;25 Jun, 2024;Polychroma Games;Maximum Entertainment;('Overwhelmingly Positive', '1,859', '98%');('Adventure', 'Casual', 'Indie');29;A fateful meeting sets off a chain reaction, upending Mark's life. People disappear and memories prove unreliable. Uncover a hidden truth with Mark and his friends in this narrative adventure and race to unravel the mystery before it's too late.
2218750;Halls of Torment;https://store.steampowered.com/app/2218750/Halls_of_Torment;Game;4,99€;No discount;24 May, 2023;Chasing Carrots;Chasing Carrots;('Overwhelmingly Positive', '21,503', '96%');('Action', 'Indie', 'RPG', 'Early Access');310;Slay hordes of terrifying monsters in this horde survival roguelite. Descend into the Halls of Torment where the Lords of the underworld await you. Treasures, magical trinkets, and a growing cast of heroes will grant you the power to vanquish these horrors from beyond. How long can you survive?
1725640;Sudocats;https://store.steampowered.com/app/1725640/Sudocats;Game;1,95€;('30%', '1,36€');14 Mar, 2022;Devcats;Devcats;('Overwhelmingly Positive', '1,065', '98%');('Casual',);15;Sudoku for cat people. Cats are wonderful creatures but you better not put them together without proper introduction. So, plan ahead to display them in the right order so they get along!
1321440;Cassette Beasts;https://store.steampowered.com/app/1321440/Cassette_Beasts;Game;19,99€;No discount;26 Apr, 2023;Bytten Studio;Raw Fury;('Overwhelmingly Positive', '6,273', '95%');('Indie', 'RPG');123;Collect awesome monsters to use during turn-based battles in this open-world RPG, now with online multiplayer mode. Combine any two monster forms using Cassette Beasts’ Fusion System to create unique and powerful new ones!
2128270;Path of Achra;https://store.steampowered.com/app/2128270/Path_of_Achra;Game;9,75€;('25%', '7,31€');7 May, 2024;Ulfsire;Slouching Beast LLC;('Overwhelmingly Positive', '1,322', '98%');('RPG',);101;Path of Achra is a dark fantasy roguelike of the ancient earth, with a focus on streamlined controls and rapid hero customization. A "broken build sandbox." Fight through the deadly lands of Achra to reach the horrors of the Obelisk, and discover what lies beyond...
2883280;Dog Brew;https://store.steampowered.com/app/2883280/Dog_Brew;Game;3,50€;No discount;30 Apr, 2024;S-Grade;S-Grade;('Overwhelmingly Positive', '1,173', '98%');('RPG', 'Simulation');18;Dog Brew - a light indie adventure where the main character, burdened by debts, decides to settle them through the art of brewing beer.
1817000;Zodiacats;https://store.steampowered.com/app/1817000/Zodiacats;Game;1,95€;('30%', '1,36€');21 Jan, 2022;Devcats;Devcats;('Overwhelmingly Positive', '822', '98%');('Casual',);18;Follow cat Catherine on her journey for the lost astrology papyri and learn more about her job as a witch assistant for bringing good vibes into this Earth! Let Catherine guide you through the zodiac wheel, showing you about features of each solar sign. You can also learn about your cat's sign!
1444480;Turing Complete;https://store.steampowered.com/app/1444480/Turing_Complete;Game;16,79€;No discount;2 Oct, 2021;LevelHead;LevelHead;('Overwhelmingly Positive', '2,993', '96%');('Simulation', 'Early Access');15;Learn CPU architecture with puzzles
2763670;Arctic Eggs;https://store.steampowered.com/app/2763670/Arctic_Eggs;Game;9,75€;No discount;16 May, 2024;Cameron Ginex;CRITICAL REFLEX;('Overwhelmingly Positive', '1,268', '97%');('Adventure', 'Indie', 'Simulation');16;Eggs: perfection in two parts. The simple whites. The sublime yolk. Each the lesser without it’s partner. Chorus and verse. A symphony of flavor. The catchy tune reminding us of warm baths and late night movies. The elevator music to whatever lies beyond.
1733060;Ever Seen A Cat?;https://store.steampowered.com/app/1733060/Ever_Seen_A_Cat;Game;1,99€;No discount;18 Jan, 2022;EverCats;EverCats;('Overwhelmingly Positive', '638', '99%');('Casual',);22;A relaxing hidden object game. Find cats in several stylish environments! Every play through is different!
1569520;IRMÃO Grande & Brasileiro 2;https://store.steampowered.com/app/1569520/IRMAO_Grande__Brasileiro_2;Game;14,99€;No discount;14 Oct, 2021;Virgula Leal;Jogo Joia;('Overwhelmingly Positive', '846', '97%');('Casual', 'Indie', 'Simulation');12;IRMÃO Grande & Brasileiro 2 é o mais Grande e mais Brasileiro simulador de cárcere privado competitivo que o dinheiro pode comprar. Você monta um elenco formado pelos seus amigos, personagens ou celebridades favoritas, enfia todo mundo numa casa, e assiste o circo pegar fogo.
1923790;Linelith;https://store.steampowered.com/app/1923790/Linelith;Game;2,99€;No discount;19 May, 2022;Patrick Traynor;Patrick Traynor;('Overwhelmingly Positive', '633', '98%');('Casual', 'Indie', 'Strategy');3;Solve puzzles embedded in rocks and crystals as you explore a colorful, serene alien asteroid. Discover a few clever twists as you progress in this short and sweet puzzle experience.
2726450;Windowkill;https://store.steampowered.com/app/2726450/Windowkill;Game;4,99€;No discount;23 Feb, 2024;torcado;torcado;('Overwhelmingly Positive', '1,585', '96%');('Action', 'Indie');28;Windowkill is a twin-stick shooter, but the game window itself is constantly closing in on you. Shoot the window edges to push it around your screen as you fight and dodge enemies and bosses in their own windows.
1283130;Micro Platformer;https://store.steampowered.com/app/1283130/Micro_Platformer;Game;Free;No discount;21 Apr, 2020;Daveyyy;Daveyyy;('Overwhelmingly Positive', '1,636', '96%');('Free To Play', 'Indie', 'Early Access');No achievements;A minimalistic platformer with a 1x1 tileset. No enemies, no bullets, no lasers. Just sheer platforming.
1865060;14 Minesweeper Variants;https://store.steampowered.com/app/1865060/14_Minesweeper_Variants;Game;6,89€;No discount;14 Nov, 2022;Artless Games;Artless Games;('Overwhelmingly Positive', '890', '97%');('Casual', 'Indie', 'Strategy');66;Minesweeper but the rules are changing.
2919650;Cookard;https://store.steampowered.com/app/2919650/Cookard;Game;Free;No discount;10 May, 2024;Panitia GameDev;Panitia GameDev;('Overwhelmingly Positive', '887', '97%');('Casual', 'Indie', 'Simulation', 'Strategy', 'Free To Play');No achievements;Cookard is a cooking game where you run a restaurant by stacking cards to prepare and serve dishes to customers.
2762230;Aurora Hills: Chapter 1;https://store.steampowered.com/app/2762230/Aurora_Hills_Chapter_1;Game;Free;No discount;20 Apr, 2024;NovaSoft Interactive Ltd.;NovaSoft Interactive Ltd.;('Overwhelmingly Positive', '973', '97%');('Adventure', 'Casual', 'Indie', 'Free To Play');No achievements;Aurora Hills: Chapter 1 is the first part in series of point and click puzzle adventure games. Follow the journey of Ethan Hill, a park ranger tasked with investigating strange disappearances from the region to uncover the mystery of Aurora Hills!
1865440;Cave Crawler;https://store.steampowered.com/app/1865440/Cave_Crawler;Game;Free;No discount;23 Jan, 2022;Evan Youssef;Evan Youssef;('Overwhelmingly Positive', '2,983', '95%');('Action', 'Adventure', 'Casual', 'Free To Play', 'Indie');7;Cave Crawler is a short, 2D side-scrolling action platformer. Explore caves filled with interesting enemies and fun platforming challenges.
1404850;Luck be a Landlord;https://store.steampowered.com/app/1404850/Luck_be_a_Landlord;Game;9,75€;No discount;6 Jan, 2023;TrampolineTales;TrampolineTales;('Very Positive', '8,628', '93%');('Indie', 'Simulation', 'Strategy');186;Luck be a Landlord is a roguelike deckbuilder about using a slot machine to earn rent money and defeat capitalism. This game does not contain any real-world currency gambling or microtransactions.
1476340;The Adventure of NAYU;https://store.steampowered.com/app/1476340/The_Adventure_of_NAYU;Game;2,99€;No discount;19 Jan, 2021;ambai;ambai;('Overwhelmingly Positive', '1,435', '95%');('Casual', 'Indie');48;Nayu is a fox who lives in a strangely cozy world.Go on a little adventure with Nayu ♪ in this adorable clicker-like game for everyone to enjoy.
2056560;Rock Life: The Rock Simulator;https://store.steampowered.com/app/2056560/Rock_Life_The_Rock_Simulator;Game;Free;No discount;20 Jul, 2022;BGNB Studios;BGNB Studios;('Overwhelmingly Positive', '2,105', '95%');('Casual', 'Indie', 'Simulation');12;Built from the ground up, Rock Life is the next generation of immersion and simulations. Live, do, and experience what it is like to truly become one with nature... as a rock!
1109570;Word Game;https://store.steampowered.com/app/1109570/Word_Game;Game;29,99€;No discount;21 Jan, 2022;Team9;Path;('Very Positive', '5,257', '93%');('Adventure', 'Indie', 'RPG', 'Strategy');59;Word game is literally a game of words. Player controls "I" to find clues between lines, delete words to change the meaning of sentences, or shift words to rewrite facts. “I” must be wise and brave enough complete the mission of words. May the best "I” win!
1972710;Ever Seen A Cat? 2;https://store.steampowered.com/app/1972710/Ever_Seen_A_Cat_2;Game;1,99€;No discount;30 May, 2022;EverCats;EverCats;('Very Positive', '381', '98%');('Casual',);22;A relaxing hidden object game. Find even more cats in several stylish environments! Every play through is different!
2075070;KinitoPET;https://store.steampowered.com/app/2075070/KinitoPET;Game;5,89€;No discount;9 Jan, 2024;troy_en;troy_en;('Very Positive', '8,187', '92%');('Casual', 'Indie', 'Simulation');15;KinitoPET is a psychological horror experience that takes place through Kinito, an early 2000s virtual assistant. Kinito is able to walk, talk, browse, adapt, and play games as Kinito is like no other with its adaptive technology!
None;None;None;None;Free;No discount;None;None;None;No reviews;();No achievements;None
2084930;Ever Seen A Cat? 3;https://store.steampowered.com/app/2084930/Ever_Seen_A_Cat_3;Game;2,99€;No discount;11 Oct, 2022;EverCats;EverCats;('Very Positive', '243', '98%');('Casual',);22;A relaxing hidden object game. Find yet more cats in several new fairy tale themed environments! Every play through is different!
2276930;Chillquarium;https://store.steampowered.com/app/2276930/Chillquarium;Game;5,89€;No discount;6 Sep, 2023;Ben Reber;Ben Reber;('Very Positive', '4,938', '92%');('Casual', 'Simulation');18;Chillquarium is a cozy and relaxing idle game. Buy fish and raise them in real time, then sell them to turn a profit! Customize your aquarium as you progress from a simple starter tank to your dream setup by filling your collection with rare exotic fish and ultra-rare color variants!
846030;ΔV: Rings of Saturn;https://store.steampowered.com/app/846030/V_Rings_of_Saturn;Game;8,19€;No discount;21 Jul, 2023;Kodera Software;Kurki.games;('Very Positive', '2,077', '94%');('Action', 'Indie', 'Simulation');87;A physics-based mining sim, set in the thickest debris field in Sol. Every action has a reaction, lasers are invisible without a medium, and your thrust is a potent weapon. Find trade, adapt your equipment to your playstyle, hire a crew to help. Unravel the mysteries of the rings, or just get rich.
2124780;Endoparasitic;https://store.steampowered.com/app/2124780/Endoparasitic;Game;8,19€;No discount;24 Oct, 2022;Deep Root Interactive;Deep Root Interactive;('Very Positive', '2,127', '93%');('Indie',);24;Three limbs ripped off, infected with a deadly parasite, you must save your research. Drag yourself through the corridors of a secret research lab on a remote asteroid, fight off horribly mutated monsters, inject countless syringes of vaccines, and survive at all costs.
1637320;Dome Keeper;https://store.steampowered.com/app/1637320/Dome_Keeper;Game;17,99€;No discount;27 Sep, 2022;Bippinbits;Raw Fury;('Very Positive', '11,068', '91%');('Action', 'Adventure', 'Indie', 'Simulation');47;Defend against waves of alien attackers in this innovative roguelike survival miner. Dig for resources and choose from powerful upgrade paths. Is there enough time to mine a little deeper and get back to defend before the monsters attack your dome?
2005660;Ukraine Defense Force Tactics;https://store.steampowered.com/app/2005660/Ukraine_Defense_Force_Tactics;Game;2,39€;No discount;29 Jun, 2022;Spacewalkers;Spacewalkers;('Very Positive', '204', '99%');('Indie', 'Strategy');7;Turn-based strategy in which you lead a heroic defense of Ukraine under siege by the despicable Russian Z force. Outmaneuver an endless deluge of enemies using combined infantry-and-armor tactics to survive against all odds.
1983000;HAYAI;https://store.steampowered.com/app/1983000/HAYAI;Game;1,59€;No discount;19 May, 2022;Chaoclypse;Chaoclypse;('Very Positive', '216', '98%');('Action',);20;You are Ronin. Survive against an onslaught of enemies using a unique, mouse-based combat system. Draw your attack, felling your enemies in one swoop!
1249480;Ex-Zodiac;https://store.steampowered.com/app/1249480/ExZodiac;Game;8,99€;('45%', '4,94€');21 Jul, 2022;MNKY;Pixeljam;('Very Positive', '612', '94%');('Action', 'Indie', 'Early Access');22;A fast-paced low-poly 3D rail shooter heavily inspired by classics of the early 90's. Join protagonist Kyuu as she fights to free the worlds of the Sanzaru Star System, overrun by the intergalactic terrorist organization known as Zodiac.
2657850;Cozy Space Survivors;https://store.steampowered.com/app/2657850/Cozy_Space_Survivors;Game;2,99€;No discount;3 May, 2024;simonschreibt;simonschreibt;('Very Positive', '202', '98%');('Action', 'Indie');36;A cozy time survival roguelite in space. You steer the shippy while the shooting happens automatically. Meet cute NPCs, solve small quests, and fight quirky enemies with satisfying weapons. A shorter experience for people who don't have much time but love playing (and finishing) games.
1835440;VOCÊ É UM DEFUNTO MECÂNICO;https://store.steampowered.com/app/1835440/VOCE_E_UM_DEFUNTO_MECANICO;Game;Free;No discount;9 Jan, 2022;Virgula Leal;Jogo Joia;('Very Positive', '376', '96%');('Indie',);No achievements;Baleado até a morte, você é um defunto mecânico se lembrando de como morreu, e das vidas torturadas que agora ficam para trás. Uma aventura em prosa para 20 minutos de pavor existencial no presente pós-singularidade.
1783800;Crossroad OS;https://store.steampowered.com/app/1783800/Crossroad_OS;Game;4,99€;No discount;8 Dec, 2023;Daisy Games;Daisy Games;('Very Positive', '203', '98%');('Adventure',);35;Explore the mysterious operating system Crossʀoad OS. Adventure through its decaying programs, solve puzzles, collect items and meet strange creatures.
1712390;Martial Law;https://store.steampowered.com/app/1712390/Martial_Law;Game;Free;No discount;23 Dec, 2021;FIXER;FIXER;('Very Positive', '3,638', '92%');('Adventure', 'Indie', 'Free To Play');6;Martial Law is a game about difficulties that came with Communism in Poland. The story is shown from the perspective of a man who is abandoned because of his low social status. He tries his best to be there for his daughter despite the difficulties.
2316660;Halls of Torment: Prelude;https://store.steampowered.com/app/2316660/Halls_of_Torment_Prelude;Game;Free;No discount;9 Mar, 2023;Chasing Carrots;Chasing Carrots;('Very Positive', '1,288', '93%');('Action', 'Casual', 'Indie', 'RPG');No achievements;Slay hordes of terrifying monsters in this horde survival roguelite. Descend into the Halls of Torment where the Lords of the underworld await you. Treasures, magical trinkets, and a growing cast of heroes will grant you the power to vanquish these horrors from beyond. How long can you survive?
2417850;Yolk Heroes: A Long Tamago;https://store.steampowered.com/app/2417850/Yolk_Heroes_A_Long_Tamago;Game;7,79€;No discount;20 May, 2024;14 Hours Productions;Astrolabe Games;('Very Positive', '453', '94%');('Casual', 'Indie');26;Someone has to protect this realm... is it you? Become a guardian spirit and raise your very own Hero to stand against the Dark Lord.
2471100;Unnamed Space Idle;https://store.steampowered.com/app/2471100/Unnamed_Space_Idle;Game;Free;No discount;27 Jul, 2023;Sylv;Jdog Corp;('Very Positive', '1,661', '92%');('Casual', 'Simulation', 'Free To Play', 'Early Access');106;Destroy endless waves of alien ships that have all but wiped out humanity in this long form, unfolding, sci-fi idle game. Customize your ship with different weapons and defenses to defeat specific enemy types and utilize a ton of different systems to increase your overall power.
1779560;Donut Dodo;https://store.steampowered.com/app/1779560/Donut_Dodo;Game;5,99€;No discount;3 Jun, 2022;pixel games SARL-S;pixel games SARL-S;('Very Positive', '184', '98%');('Action', 'Indie');10;If a long lost arcade game from 1983 resurfaced today, it would be Donut Dodo - a classic 2D platformer from the golden era, tough as nails and challenging for the whole family! Ready to top the high score table?
1848520;Fruit Salad;https://store.steampowered.com/app/1848520/Fruit_Salad;Game;1,99€;No discount;18 Nov, 2023;The Dead Pixel Society, LLC;The Dead Pixel Society, LLC;('Very Positive', '239', '96%');('Casual', 'Indie');32;Drop adorable fruit to merge them and create even larger fruit in this cozy physics puzzle game!
2878280;Imitosis;https://store.steampowered.com/app/2878280/Imitosis;Game;Free;No discount;7 Jun, 2024;One Over Games;One Over Games;('Very Positive', '130', '99%');('Adventure', 'Casual', 'Indie', 'Free To Play');1;A free 5-minute visual novel. A security concern demands your attention.
2372500;Trolley Delayma;https://store.steampowered.com/app/2372500/Trolley_Delayma;Game;Free;No discount;3 Oct, 2023;albertnez;albertnez;('Very Positive', '142', '98%');('Indie',);9;Top down puzzle game about manipulating the tracks to redirect the trolley to save the victims. Solve the trolley problem in various forms of tiny puzzles.
1637140;Fishards;https://store.steampowered.com/app/1637140/Fishards;Game;Free;No discount;3 Nov, 2021;Rivernotch Game Studio;Rivernotch Game Studio;('Very Positive', '169', '97%');('Action', 'Indie');29;Combine the intense, skill-shot PVP of Magicka or Battlerite with some wacky 2-legged-fish and you've got yourself Fishards! The unique spell combining mechanic creates a brand new type of PvP​ ​arena​ experience that you have to try with friends!
2427700;Backpack Battles;https://store.steampowered.com/app/2427700/Backpack_Battles;Game;12,99€;('10%', '11,69€');8 Mar, 2024;PlayWithFurcifer;IndieArk;('Very Positive', '9,601', '89%');('Strategy', 'Early Access');No achievements;A PvP inventory management auto battler! Buy and craft powerful items, then carefully arrange them in your backpack.
1667400;Cute Cats;https://store.steampowered.com/app/1667400/Cute_Cats;Game;0,99€;No discount;9 Aug, 2021;KuKo;KuKo;('Very Positive', '378', '96%');('Casual',);22;Cute cats want to play with you! Chill out with them in your free time! Find differences between two nearly similar artistic paintings.
2488590;Dungeons of Blood and Dream;https://store.steampowered.com/app/2488590/Dungeons_of_Blood_and_Dream;Game;15,79€;No discount;27 May, 2024;Lori Vornoy;Lori Vornoy;('Very Positive', '244', '95%');('Action', 'Adventure', 'Indie', 'RPG', 'Early Access');No achievements;Play as a mighty Blood Wizard on a quest to escape a death-loop of psychedelic dungeons. Slay disgusting creatures using a large array of bladed weapons and unnerving spells, harness the power of cursed rings, find mysterious treasures, and learn the secrets of the universe you are trapped in.
1779200;Thrive;https://store.steampowered.com/app/1779200/Thrive;Game;3,99€;No discount;26 Nov, 2021;Revolutionary Games Studio;Revolutionary Games Studio;('Very Positive', '975', '92%');('Casual', 'Indie', 'Simulation', 'Early Access');No achievements;An evolution simulation game. Take control of your species in the environment and edit your species as a whole. Compete with other evolving species for resources on an alien planet.
1814170;Lingo;https://store.steampowered.com/app/1814170/Lingo;Game;9,75€;No discount;12 Dec, 2021;Brenton Wildes;Brenton Wildes;('Very Positive', '360', '94%');('Adventure', 'Indie');42;Lingo is a first person word puzzle game with a large, abstract world to explore. With its epiphany-driven gameplay and impossible geometry, Lingo provides a unique and nonlinear experience.
2450400;Trash of the Titans;https://store.steampowered.com/app/2450400/Trash_of_the_Titans;Game;8,79€;No discount;29 May, 2024;Thayer and Back Again;Thayer and Back Again;('Very Positive', '149', '97%');('Indie', 'RPG', 'Strategy', 'Early Access');15;It's turn-based fantasy tactics with trash animals. Defend your trash from invading rats, and eat your trash to upgrade your team. Think your way out of ruin by using the shape of each level to your advantage. Be creative, and try to not die.
1436680;Gachi run: Running of the slaves;https://store.steampowered.com/app/1436680/Gachi_run_Running_of_the_slaves;Game;0,79€;No discount;4 Nov, 2020;Slaves;Wolfi;('Very Positive', '184', '95%');('Action', 'Adventure', 'Casual', 'Indie');8;Furious 3D runner about a pumped-up Gachi. Run as far as possible! Collect Sweets! Set new records and enjoy a great soundtrack.
2631960;14 Minesweeper Variants 2;https://store.steampowered.com/app/2631960/14_Minesweeper_Variants_2;Game;6,89€;No discount;14 Jun, 2024;Artless Games;Artless Games;('Very Positive', '142', '97%');('Casual',);68;Minesweeper but the rules are changing, again.
1191840;Legend Creatures(传奇生物);https://store.steampowered.com/app/1191840/Legend_Creatures;Game;3,99€;No discount;31 Mar, 2020;HideChara;HideChara;('Very Positive', '3,722', '90%');('Casual', 'Indie', 'Strategy');13;Legendary creature is an independent game with rich playing methods such as roguelike + self-propelled chess + strategy. You can collect all kinds of magic creatures with various talents and skills, and can also evolve to a higher level.
2009380;They Don't Sleep;https://store.steampowered.com/app/2009380/They_Dont_Sleep;Game;2,99€;No discount;14 Sep, 2022;Missing Middle Games;Missing Middle Games;('Very Positive', '191', '96%');('Action', 'Simulation');17;Eat, sleep, and shoot zombies in this survival simulator with roguelite elements. Battle to survive until you die and do it all over again. Level up your skills and keep your child alive as you fight to escape your wintry hell.
2413840;Cute Capybaras;https://store.steampowered.com/app/2413840/Cute_Capybaras;Game;0,99€;No discount;13 Jul, 2023;KuKo;KuKo;('Very Positive', '88', '97%');('Casual',);22;Spend your time with profit and pleasure! Play the puzzle game with the cutest and friendliest animal in the entire world! Find difference on pictures with capybaras!
1863080;Beat Invaders;https://store.steampowered.com/app/1863080/Beat_Invaders;Game;9,75€;No discount;10 Mar, 2022;Raffaele Picca;Raffaele Picca;('Very Positive', '167', '96%');('Action', 'Casual');41;Beat Invaders is an unique space action roguelite! Blast your way through enemy fleets, unlock skills, items, ships, and upgrade them! Blast away to a pushing soundtrack and neon visuals!
2150700;Magic Axolotl;https://store.steampowered.com/app/2150700/Magic_Axolotl;Game;2,99€;No discount;28 Oct, 2022;Gato Alebrije;Gato Alebrije;('Very Positive', '59', '98%');('Action', 'Casual', 'Indie');5;Magic Axolotl is a tiny game about draw the spells on the screen to defeat the enemies.
1908870;"LIFE" not found:,;https://store.steampowered.com/app/1908870/LIFE_not_found;Game;Free;No discount;23 Jun, 2022;BerCh1n;BerCh1n;('Very Positive', '251', '95%');('Indie', 'Simulation', 'Free To Play');13;This small Narrative Point & Click (Puzzle) game is about the mental health struggles of a adolescent high school dropout who's lost at life. Find out what they're struggling with, you might even recognize some things from your own life.
1985360;Cute Cats 3;https://store.steampowered.com/app/1985360/Cute_Cats_3;Game;0,99€;No discount;25 May, 2022;KuKo;KuKo;('Very Positive', '154', '97%');('Casual',);22;Kittens come back to challenge you once again! Test your memory and attentiveness. Play a new chapter of the beloved puzzle game and find all differences in pictures with our cute fellas.
2498570;Canvas of Kings;https://store.steampowered.com/app/2498570/Canvas_of_Kings;Game;18,49€;('20%', '14,79€');3 Aug, 2023;Hannes Breuer;Hannes Breuer;('Very Positive', '273', '94%');('Indie', 'RPG', 'Early Access');1;Canvas of Kings is a minimalistic mapmaking tool that focuses on randomness and auto-generated elements on user-definable and interactive paths, plots and rooms.
2435180;Neyasnoe;https://store.steampowered.com/app/2435180/Neyasnoe;Game;9,75€;No discount;29 Aug, 2023;ИЛЬЯМАЗО;ИЛЬЯМАЗО;('Very Positive', '202', '95%');('Indie', 'Simulation');No achievements;Wastelands, grim folks behind garages, a nightclub, and a huge gray sky — a lost world for a lost generation. Let techno trance music and white verses lead you through the wastelands of the Neyasnoe.
1677360;satryn deluxe;https://store.steampowered.com/app/1677360/satryn_deluxe;Game;5,70€;No discount;14 Oct, 2021;maybell🌻;maybell🌻;('Very Positive', '85', '97%');('Action', 'Indie');60;a chaotic, infinite twin stick shooty✨
1824080;LUL inc.;https://store.steampowered.com/app/1824080/LUL_inc;Game;3,99€;No discount;14 Jan, 2022;2pfrog;C Horse Games;('Very Positive', '100', '98%');('Action', 'Casual', 'Indie');15;LUL Inc. is a collection of 36 different microgames that will test your skills in a variety of genres. Can you beat them all and defeat the three evil machines?
1236070;Mission Zigloton;https://store.steampowered.com/app/1236070/Mission_Zigloton;Game;Free;No discount;14 Feb, 2020;Ben Lega;Ben Lega;('Very Positive', '236', '94%');('Adventure', 'Free To Play', 'Indie');No achievements;Help Zigloton steal an old relic on his journey to infiltrate a mysterious planet, in this challenging platformer developped and hand-animated by one person.
None;None;None;None;Free;No discount;None;None;None;No reviews;();No achievements;None
1878570;Immortal Mantis;https://store.steampowered.com/app/1878570/Immortal_Mantis;Game;1,99€;No discount;22 Apr, 2022;Bitlife;Bitlife ;('Very Positive', '195', '94%');('Casual', 'Indie', 'RPG');8;Discover secrets, solve puzzles and survive the serial-killer in this pixelated topdown. You are Akin, an exterminator, who bought a house in a rural area, but the past of this house will affect your present.
1383720;Cyber-doge 2077: Meme runner;https://store.steampowered.com/app/1383720/Cyberdoge_2077_Meme_runner;Game;1,59€;No discount;1 Sep, 2020;Take Toad;Take Toad;('Very Positive', '135', '95%');('Action', 'Adventure', 'Casual', 'Indie');8;Furious 3D runner about a pumped-up dog. Run as far as possible! Collect coins! Set new records and enjoy a great soundtrack.
1655890;Sokobos;https://store.steampowered.com/app/1655890/Sokobos;Game;4,99€;No discount;1 Apr, 2022;Daisy Games;Daisy Games;('Positive', '47', '100%');('Adventure',);11;Sokoban meets Greek tragedy! Sokobos is a minimalistic & challenging puzzle game that expands on the classic block-pushing formula.
787980;4D Minesweeper;https://store.steampowered.com/app/787980/4D_Minesweeper;Game;Free;No discount;14 Feb, 2018;Julian Schlüntz;Julian Schlüntz;('Very Positive', '461', '92%');('Casual', 'Indie');No achievements;4D Minesweeper brings the classic mechanics of Minesweeper into the fourth dimension and adds some new features to it.
